
a	interj	ah!

akesi	n	reptile
akesi	n	amphibian

ala	mod	not
ala	n	nothing
ala	interj	no!

alasa	vt	to gather
alasa	vt	to hunt

ali	n	everything
ali	mod	all
ali	mod	hundred

anpa	n	down
anpa	mod	low
anpa	vt	to lower

ante	n	difference
ante	mod	different
ante	cont	otherwise
ante	vt	to change

anu	conj	or

awen	vi	to stay
awen	vt	to keep
awen	mod	remaining

e	sep	(marks direct object)

en	conj	and

esun	n	market
esun	n	shop

ijo	n	thing
ijo	mod	of something
ijo	vt	to objectify

ike	mod	bad
ike	interj	oh dear!
ike	n	negativity
ike	vt	to make bad
ike	vi	to be bad

ilo	n	tool

insa	n	inside
insa	mod	internal

jaki	mod	dirty
jaki	n	dirt
jaki	vt	to pollute
jaki	interj	yuck!

jan	n	person
jan	mod	human
jan	vt	to humanize

jelo	mod	yellow-green

jo	vt	to have
jo	n	possession
jo	kama	to obtain

kala	n	fish

kalama	n	sound
kalama	vi	to make a sound
kalama	vt	to sound

kama	n	event
kama	mod	coming
kama	vi	to come
kama	vi	to become
kama	vt	to bring about

kasi	n	plant

ken	n	possibility
ken	vi	can
ken	vt	to enable
ken	cont	maybe

kepeken	vt	to use
kepeken	prep	using

kili	n	fruit

kin	mod	also

kipisi	vt	to cut

kiwen	n	hard thing
kiwen	mod	hard

ko	n	powder
ko	n	paste

kon	n	air
kon	mod	air-like

kule	n	color
kule	vt	to paint
kule	mod	colourful

kulupu	n	group
kulupu	n	community
kulupu	mod	communal

kute	vt	to hear
kute	mod	auditory

la	sep	(joins related clauses)

lape	n	sleep
lape	vi	to sleep
lape	mod	sleeping

laso	mod	blue-green

lawa	n	head
lawa	mod	main
lawa	vt	to lead

len	n	clothing
len	n	fabric

lete	n	cold
lete	mod	cold
lete	vt	to cool down

li	sep	(separates subject and verb)

lili	mod	little
lili	vt	to reduce

linja	n	long thing

lipu	n	document
lipu	n	flat thing

loje	mod	red

lon	prep	in/at/on
lon	vi	to be there

luka	n	hand
luka	n	arm
luka	mod	five

lukin	vt	to see
lukin	vi	to look
lukin	mod	visual

lupa	n	hole

ma	n	land

mama	n	parent
mama	mod	parental

mani	n	money

meli	n	woman
meli	mod	female

mi	n	I
mi	mod	my

mije	n	man
mije	mod	male

moku	n	food
moku	vt	to consume

moli	n	death
moli	mod	dead
moli	vt	to kill
moli	vi	to die

monsi	n	behind
monsi	mod	rear

mu	interj	woof!

mun	n	moon
mun	mod	lunar

musi	n	game
musi	mod	fun
musi	vi	to play
musi	vt	to amuse

mute	mod	many
mute	mod	very
mute	mod	twenty
mute	n	amount
mute	vt	to make many

namako	n	accessory
namako	mod	extra
namako	vt	to embellish

nanpa	n	number
nanpa	oth	-th (ordinal)

nasa	mod	silly
nasa	mod	strange
nasa	vt	to drive crazy

nasin	n	way

nena	n	protrusion

ni	mod	this/that

nimi	n	word
nimi	n	name

noka	n	leg
noka	n	foot

o	sep	O!
o	sep	(marks imperative)
o	interj	hey!

oko	n	eye

olin	n	love
olin	mod	lovely
olin	vt	to feel affection for

ona	n	they
ona	mod	their

open	vt	to begin
open	vt	to open

pakala	n	mistake
pakala	vt	to screw up
pakala	vi	to screw up
pakala	interj	damn!

pali	n	activity
pali	n	work
pali	mod	active
pali	mod	work-related
pali	vt	to do
pali	vt	to make
pali	vi	to act
pali	vi	to work

palisa	n	long hard thing

pan	n	grain
pan	n	cereal

pana	vt	to give
pana	vt	to put
pana	n	transfer

pi	sep	of

pilin	n	feelings
pilin	vi	to feel
pilin	vt	to feel

pimeja	mod	black
pimeja	n	darkness
pimeja	vt	to darken

pini	n	end
pini	mod	completed
pini	vt	to finish

pipi	n	bug

poka	n	side
poka	mod	neighboring
poka	prep	together with

poki	n	container

pona	n	good
pona	mod	good
pona	mod	correct
pona	interj	great!
pona	vt	to improve

pu	n	the toki pona book
pu	vi	to study the toki pona book
pu	mod	toki pona canon

sama	mod	similar
sama	prep	like
sama	cont	similarly

seli	n	heat
seli	mod	hot
seli	vt	to heat

selo	n	outside
selo	n	outer layer

seme	oth	what

sewi	n	up
sewi	mod	high
sewi	vt	to lift

sijelo	n	body

sike	n	circle
sike	n	ball
sike	mod	round
sike	mod	cyclical

sin	mod	new
sin	vt	to renew

sina	n	you
sina	mod	your

sinpin	n	front

sitelen	n	picture
sitelen	vt	to draw
sitelen	vt	to write

sona	n	knowledge
sona	vt	to know
sona	vi	to know
sona	kama	to learn

soweli	n	animal

suli	mod	big
suli	vt	to enlarge
suli	n	size

suno	n	sun
suno	n	light

supa	n	horizontal surface

suwi	n	sweets
suwi	mod	sweet
suwi	mod	cute
suwi	vt	to sweeten

tan	prep	from
tan	prep	because of
tan	n	origin
tan	n	cause

taso	mod	only
taso	conj	but

tawa	prep	to
tawa	n	movement
tawa	mod	moving
tawa	vi	to go
tawa	vt	to move

telo	n	liquid
telo	vt	to water

tenpo	n	time

toki	n	language
toki	vt	to say
toki	vi	to talk
toki	interj	hello!

tomo	n	room
tomo	mod	urban

tu	mod	two
tu	n	pair
tu	vt	to double

unpa	n	sex
unpa	mod	sexual
unpa	vt	to have sex with
unpa	vi	to have sex

uta	n	mouth
uta	mod	oral

utala	n	conflict
utala	vt	to attack

walo	mod	white
walo	n	whiteness

wan	mod	one
wan	n	unit
wan	vt	to unite

waso	n	bird

wawa	n	energy
wawa	mod	strong
wawa	vt	to strengthen

weka	mod	absent
weka	n	absence
weka	vt	to remove

wile	vt	to want
wile	vt	to need
wile	n	desire
wile	n	need
wile	mod	necessary
